ID	xTB_EA	xTB_IP	xTB_Opticalgap	DFT_IP	DFT_EA	TDDFT_opticalgap	2_IP_cal	2_EA_cal	2_xTB_Og_cal	A	A_EA	A_IP	A_opticalgap	A_osc_strength	B	B_EA	B_IP	B_opticalgap	B_osc_strength	C	C_EA	C_IP	C_opticalgap	C_osc_strength	Smiles	TDDFT_A	A_DFT_IP	A_DFT_EA	V_oc_PN1
27192	-3.4477	-5.0147	2.693				-4.7876481212266775	-2.626750311338239	2.748969050330732	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc2c(ccc3cc(Br)cnc32)c1	-1.8177	-6.8693	3.998	0.0298	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cnc3c(ccc4cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)ccc43)c2)=C2C(=O)NC(c3cnc4c(ccc5cc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)ccc54)c3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6376500993173635
27190	-3.6539	-5.2632	2.537				-4.994443687707866	-2.8079560890180906	2.5451503030579894	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc2nc(Br)ccc2n1	-2.2434	-7.3235	4.4830000000000005	0.139	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc3nc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)ccc3n2)=C2C(=O)NC(c3ccc4nc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)ccc4n3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.8444461020607008
27241	-3.5435	-4.9855	2.6010000000000004				-4.7633486019459905	-2.7109380586793144	2.628768250657064	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc2cc3cc(Br)cnc3cc2c1	-2.4254	-6.4404	3.553	0.1718	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cnc3cc4cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)ccc4cc3c2)=C2C(=O)NC(c3cnc4cc5cc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)ccc5cc4c3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6133505287736796
27311	-3.7769	-5.1267	2.458				-4.880851756823833	-2.9160468293411834	2.4419343989903832	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cncc2cc3c(Br)cncc3cc12	-2.707	-6.7303	3.543	0.2213	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cncc3cc4c(-c5cc6[nH]c7cc[nH]c7c6[nH]5)cncc4cc23)=C2C(=O)NC(c3cncc4cc5c(-c6cc7[nH]c8cc[nH]c8c7[nH]6)cncc5cc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.7308539315397129
27270	-3.5648	-5.152	2.383				-4.9019057923649765	-2.7296562112718497	2.3439446166477182	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc(Br)c2ncncc12	-2.1593	-7.4541	3.889	0.0038	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ncncc23)=C2C(=O)NC(c3ccc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ncncc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.7519080114970833
27306	-3.0438	-4.7716	2.4				-4.585346301461781	-2.2718084412854163	2.366155633978722	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cc2[nH]c3cc(Br)oc3c2o1	-0.5989	-6.1986	4.644	0.8378	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cc3[nH]c4cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)oc4c3o2)=C2C(=O)NC(c3cc4[nH]c5cc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)oc5c4o3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.435347852770462
27335	-3.2846	-5.2125	2.608				-4.952252399093797	-2.4834202320968046	2.6379139636757123	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1nnc(Br)[nH]1	-0.4171	-8.6971	6.785	0.0054	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2nnc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)[nH]2)=C2C(=O)NC(c3nnc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)[nH]3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.8022547244386198
27233	-3.5562	-5.1014	2.347				-4.85979772128269	-2.7220986473143003	2.2969095211232387	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1c2ccccc2c(Br)c2oncc12	-2.1457	-6.6312	3.815	0.1372	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2c3ccccc3c(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3oncc23)=C2C(=O)NC(c3c4ccccc4c(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4oncc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.7097998515823429
27281	-3.5428	-5.025	2.539				-4.796219527000345	-2.7103229081246303	2.5477633639204607	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cc2cc3cnc(Br)cc3cc2cn1	-2.7073	-6.7301	3.543	0.2213	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cc3cc4cnc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)cc4cc3cn2)=C2C(=O)NC(c3cc4cc5cnc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)cc5cc4cn3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6462215231735273
27230	-3.2963	-5.0677	2.45				-4.831753413071762	-2.4937020342250986	2.431482155540498	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc(Br)c2ncccc12	-1.7873	-7.2773	4.367	0.0369	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3cccnc23)=C2C(=O)NC(c3ccc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4cccnc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6817554842082985
27263	-3.7021	-5.1062	2.583				-4.8637921628082825	-2.850313598640636	2.605250702894824	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cnc2cc3cc(Br)cnc3cc2c1	-2.7177	-6.8827	3.6860000000000004	0.1753	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cnc3cc4cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)cnc4cc3c2)=C2C(=O)NC(c3cnc4cc5cc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)cnc5cc4c3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.7137943015347297
27175	-3.3706	-4.9932	2.657				-4.769756351893296	-2.5589958716722996	2.7019339548062526	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc2c(c1)c1cccnc1c1cc(Br)ccc21	-1.8174	-6.8194	3.985	0.0154	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc3c(c2)c2cccnc2c2cc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)ccc32)=C2C(=O)NC(c3ccc4c(c3)c3cccnc3c3cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)ccc43)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6197582922389675
27278	-3.2954	-5.0108	2.406				-4.784402637487133	-2.492911126369076	2.3739948165661358	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1c2ccccc2c(Br)c2ccccc12	-2.1052	-6.0877	3.555	0.1954	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2c3ccccc3c(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ccccc23)=C2C(=O)NC(c3c4ccccc4c(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ccccc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6344046087310495
27251	-3.4257	-5.1176	2.592				-4.8732789614315655	-2.607417008191019	2.6170094767759435	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cc2cnc(Br)cc2cn1	-2.1454	-7.2684	4.422	0.1578	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cc3cnc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)cc3cn2)=C2C(=O)NC(c3cc4cnc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)cc4cn3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.723281120171648
27297	-3.772	-5.2789	2.458				-5.007508840197826	-2.911740775458393	2.4419343989903832	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccnc2c(Br)nccc12	-2.1831	-7.3948	4.177	0.0005	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccnc3c(-c4cc5[nH]c6cc[nH]c6c5[nH]4)nccc23)=C2C(=O)NC(c3ccnc4c(-c5cc6[nH]c7cc[nH]c7c6[nH]5)nccc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.8575112821132993
